language,level,english,translation,category
DE,A1,I learn German.,Ich lerne Deutsch.,Daily Life
DE,A1,I write.,Ich schreibe.,Daily Life
DE,A1,I read.,Ich lese.,Daily Life
DE,A1,I listen.,Ich höre.,Daily Life
DE,A1,I watch TV.,Ich schaue Fernsehen.,Daily Life
DE,A1,I go home.,Ich gehe nach Hause.,Daily Life
DE,A1,I come here.,Ich komme hierher.,Daily Life
DE,A1,I wait.,Ich warte.,Daily Life
DE,A1,I sit.,Ich sitze.,Daily Life
DE,A1,I stand.,Ich stehe.,Daily Life
DE,A1,I run.,Ich laufe.,Daily Life
DE,A1,I walk.,Ich gehe.,Daily Life
DE,A1,I sleep.,Ich schlafe.,Daily Life
DE,A1,I wake up.,Ich wache auf.,Daily Life
DE,A1,I drink water.,Ich trinke Wasser.,Food & Shopping
DE,A1,I eat rice.,Ich esse Reis.,Food & Shopping
DE,A1,I eat bread.,Ich esse Brot.,Food & Shopping
DE,A1,I buy food.,Ich kaufe Essen.,Food & Shopping
DE,A1,I go shopping.,Ich gehe einkaufen.,Food & Shopping
DE,A1,The shop is open.,Der Laden ist offen.,Food & Shopping
DE,A1,The shop is closed.,Der Laden ist geschlossen.,Food & Shopping
DE,A1,I pay.,Ich bezahle.,Food & Shopping
DE,A1,I meet a friend.,Ich treffe einen Freund.,Social & Relationships
DE,A1,I talk to my mother.,Ich spreche mit meiner Mutter.,Social & Relationships
DE,A1,I talk to my father.,Ich spreche mit meinem Vater.,Social & Relationships
DE,A1,We are friends.,Wir sind Freunde.,Social & Relationships
DE,A1,We are happy.,Wir sind glücklich.,Social & Relationships
DE,A1,I help you.,Ich helfe dir.,Social & Relationships
DE,A1,You help me.,Du hilfst mir.,Social & Relationships
DE,A1,We talk.,Wir reden.,Social & Relationships
DE,A1,I call you.,Ich rufe dich an.,Social & Relationships
DE,A1,I see you.,Ich sehe dich.,Social & Relationships
DE,A1,I miss you.,Ich vermisse dich.,Social & Relationships
DE,A1,I am with you.,Ich bin bei dir.,Social & Relationships
DE,A1,We meet.,Wir treffen uns.,Social & Relationships
DE,A1,I am here.,Ich bin hier.,Daily Life
DE,A1,I am there.,Ich bin dort.,Daily Life
DE,A1,I feel good.,Ich fühle mich gut.,Daily Life
DE,A1,I feel bad.,Ich fühle mich schlecht.,Daily Life
DE,A1,It is hot.,Es ist heiß.,Daily Life
DE,A1,It is cold.,Es ist kalt.,Daily Life
DE,A1,It is raining.,Es regnet.,Daily Life
DE,A1,It is sunny.,Es ist sonnig.,Daily Life
DE,A1,I open the door.,Ich öffne die Tür.,Daily Life
DE,A1,I close the door.,Ich schließe die Tür.,Daily Life
DE,A1,I turn on the light.,Ich mache das Licht an.,Daily Life
DE,A1,I turn off the light.,Ich mache das Licht aus.,Daily Life
DE,A1,I take my bag.,Ich nehme meine Tasche.,Daily Life
DE,A1,I put it here.,Ich lege es hier hin.,Daily Life
DE,A1,I go outside.,Ich gehe nach draußen.,Daily Life
DE,A1,I come inside.,Ich komme hinein.,Daily Life
DE,A1,I start work.,Ich fange an zu arbeiten.,Daily Life
DE,A1,I finish work.,Ich beende die Arbeit.,Daily Life
DE,A1,I study.,Ich lerne.,Daily Life
DE,A1,I make a mistake.,Ich mache einen Fehler.,Daily Life
DE,A1,I try again.,Ich versuche es nochmal.,Daily Life
DE,A1,I speak slowly.,Ich spreche langsam.,Daily Life
DE,A1,I repeat.,Ich wiederhole.,Daily Life
DE,A1,I understand now.,Ich verstehe jetzt.,Daily Life
DE,A1,I do not know.,Ich weiß nicht.,Daily Life
DE,A1,What is this?,Was ist das?,Daily Life
DE,A1,Who is this?,Wer ist das?,Daily Life
DE,A1,Where are you?,Wo bist du?,Daily Life
DE,A1,I am ready.,Ich bin bereit.,Daily Life
DE,A1,I am not ready.,Ich bin nicht bereit.,Daily Life
DE,A1,I need rest.,Ich brauche Ruhe.,Daily Life
DE,A1,I eat now.,Ich esse jetzt.,Food & Shopping
DE,A1,I drink now.,Ich trinke jetzt.,Food & Shopping
DE,A1,I buy bread.,Ich kaufe Brot.,Food & Shopping
DE,A1,I buy milk.,Ich kaufe Milch.,Food & Shopping
DE,A1,I buy fruit.,Ich kaufe Obst.,Food & Shopping
DE,A1,I like pizza.,Ich mag Pizza.,Food & Shopping
DE,A1,I like rice.,Ich mag Reis.,Food & Shopping
DE,A1,I go to restaurant.,Ich gehe ins Restaurant.,Food & Shopping
DE,A1,I order food.,Ich bestelle Essen.,Food & Shopping
DE,A1,I pay the bill.,Ich bezahle die Rechnung.,Food & Shopping
DE,A1,The food is good.,Das Essen ist gut.,Food & Shopping
DE,A1,The food is bad.,Das Essen ist schlecht.,Food & Shopping
DE,A1,I am full.,Ich bin satt.,Food & Shopping
DE,A1,I am hungry again.,Ich habe wieder Hunger.,Food & Shopping
DE,A1,I go shopping.,Ich gehe einkaufen.,Food & Shopping
DE,A1,I buy vegetables.,Ich kaufe Gemüse.,Food & Shopping
DE,A1,The price is high.,Der Preis ist hoch.,Food & Shopping
DE,A1,The price is low.,Der Preis ist niedrig.,Food & Shopping
DE,A1,I pay with cash.,Ich zahle bar.,Food & Shopping
DE,A1,I pay with card.,Ich zahle mit Karte.,Food & Shopping
DE,A1,The shop is open.,Der Laden ist offen.,Food & Shopping
DE,A1,The shop is closed.,Der Laden ist geschlossen.,Food & Shopping
DE,A1,I take the receipt.,Ich nehme die Quittung.,Food & Shopping
DE,A1,I meet my friend.,Ich treffe meinen Freund.,Social & Relationships
DE,A1,I talk to my friend.,Ich spreche mit meinem Freund.,Social & Relationships
DE,A1,I call my friend.,Ich rufe meinen Freund an.,Social & Relationships
DE,A1,We meet today.,Wir treffen uns heute.,Social & Relationships
DE,A1,We are together.,Wir sind zusammen.,Social & Relationships
DE,A1,I like you.,Ich mag dich.,Social & Relationships
DE,A1,I love my family.,Ich liebe meine Familie.,Social & Relationships
DE,A1,I help my family.,Ich helfe meiner Familie.,Social & Relationships
DE,A1,I see my friend.,Ich sehe meinen Freund.,Social & Relationships
DE,A1,We talk every day.,Wir reden jeden Tag.,Social & Relationships
DE,A1,I say hello.,Ich sage Hallo.,Social & Relationships
DE,A1,I say goodbye.,Ich sage Auf Wiedersehen.,Social & Relationships
DE,A1,I am happy with you.,Ich bin glücklich mit dir.,Social & Relationships
DE,A1,We are friends.,Wir sind Freunde.,Social & Relationships
DE,A1,I miss you.,Ich vermisse dich.,Social & Relationships
DE,A2,I went to the supermarket yesterday.,Ich bin gestern zum Supermarkt gegangen.,Daily Life
DE,A2,I bought some bread and milk.,Ich habe Brot und Milch gekauft.,Daily Life
DE,A2,I cooked dinner for my family.,Ich habe Abendessen für meine Familie gekocht.,Daily Life
DE,A2,I cleaned my room yesterday.,Ich habe gestern mein Zimmer geputzt.,Daily Life
DE,A2,I watched a movie last night.,Ich habe gestern Abend einen Film gesehen.,Daily Life
DE,A2,I met my friend in the city.,Ich habe meinen Freund in der Stadt getroffen.,Social & Relationships
DE,A2,We talked for a long time.,Wir haben lange gesprochen.,Social & Relationships
DE,A2,I called my parents yesterday.,Ich habe gestern meine Eltern angerufen.,Social & Relationships
DE,A2,I visited my grandmother.,Ich habe meine Großmutter besucht.,Social & Relationships
DE,A2,I helped my friend with homework.,Ich habe meinem Freund bei den Hausaufgaben geholfen.,Social & Relationships
DE,A2,I took the bus to work.,Ich bin mit dem Bus zur Arbeit gefahren.,Travel
DE,A2,The train was late yesterday.,Der Zug hatte gestern Verspätung.,Travel
DE,A2,I arrived at the station early.,Ich bin früh am Bahnhof angekommen.,Travel
DE,A2,I booked a hotel online.,Ich habe ein Hotel online gebucht.,Travel
DE,A2,The trip was very long.,Die Reise war sehr lang.,Travel
DE,A2,I had breakfast at home.,Ich habe zu Hause gefrühstückt.,Food & Shopping
DE,A2,I ordered food from a restaurant.,Ich habe Essen im Restaurant bestellt.,Food & Shopping
DE,A2,The food was very tasty.,Das Essen war sehr lecker.,Food & Shopping
DE,A2,I paid with my credit card.,Ich habe mit meiner Kreditkarte bezahlt.,Food & Shopping
DE,A2,I went shopping with my friend.,Ich bin mit meinem Freund einkaufen gegangen.,Food & Shopping
DE,A2,I was tired after work.,Ich war nach der Arbeit müde.,Daily Life
DE,A2,I stayed at home all day.,Ich bin den ganzen Tag zu Hause geblieben.,Daily Life
DE,A2,I studied German for two hours.,Ich habe zwei Stunden Deutsch gelernt.,Daily Life
DE,A2,I forgot my keys yesterday.,Ich habe gestern meine Schlüssel vergessen.,Daily Life
DE,A2,I was late for work.,Ich bin zu spät zur Arbeit gekommen.,Daily Life
DE,A2,I took a taxi because it was raining.,"Ich habe ein Taxi genommen, weil es geregnet hat.",Travel
DE,A2,I asked for directions in the city.,Ich habe in der Stadt nach dem Weg gefragt.,Travel
DE,A2,The hotel was very comfortable.,Das Hotel war sehr bequem.,Travel
DE,A2,I checked out of the hotel in the morning.,Ich bin morgens aus dem Hotel ausgecheckt.,Travel
DE,A2,I traveled to Berlin last week.,Ich bin letzte Woche nach Berlin gereist.,Travel
DE,A2,I bought fruit at the market.,Ich habe Obst auf dem Markt gekauft.,Food & Shopping
DE,A2,The supermarket was very crowded.,Der Supermarkt war sehr voll.,Food & Shopping
DE,A2,I cooked rice and vegetables.,Ich habe Reis und Gemüse gekocht.,Food & Shopping
DE,A2,I drank coffee in the morning.,Ich habe morgens Kaffee getrunken.,Food & Shopping
DE,A2,I went to a restaurant with friends.,Ich bin mit Freunden ins Restaurant gegangen.,Food & Shopping
DE,A2,We had a good time together.,Wir hatten eine gute Zeit zusammen.,Social & Relationships
DE,A2,I met new people yesterday.,Ich habe gestern neue Leute getroffen.,Social & Relationships
DE,A2,I spoke to my teacher.,Ich habe mit meinem Lehrer gesprochen.,Social & Relationships
DE,A2,We planned the trip together.,Wir haben die Reise zusammen geplant.,Social & Relationships
DE,A2,I sent a message to my friend.,Ich habe meinem Freund eine Nachricht geschickt.,Social & Relationships
DE,A2,I woke up late today.,Ich bin heute spät aufgewacht.,Daily Life
DE,A2,I had a busy day.,Ich hatte einen anstrengenden Tag.,Daily Life
DE,A2,I went to bed early.,Ich bin früh ins Bett gegangen.,Daily Life
DE,A2,I felt better after resting.,Ich habe mich nach der Ruhe besser gefühlt.,Daily Life
DE,A2,I forgot to bring my phone.,"Ich habe vergessen, mein Handy mitzunehmen.",Daily Life
DE,A2,I went for a walk in the evening.,Ich bin abends spazieren gegangen.,Daily Life
DE,A2,I studied in the library.,Ich habe in der Bibliothek gelernt.,Daily Life
DE,A2,I worked on a project.,Ich habe an einem Projekt gearbeitet.,Daily Life
DE,A2,I listened to music while studying.,Ich habe beim Lernen Musik gehört.,Daily Life
DE,A2,I cleaned the kitchen.,Ich habe die Küche geputzt.,Daily Life
DE,A2,I visited my friend’s house.,Ich habe das Haus meines Freundes besucht.,Social & Relationships
DE,A2,I stayed with my family on the weekend.,Ich bin am Wochenende bei meiner Familie geblieben.,Social & Relationships
DE,A2,We talked about many things.,Wir haben über viele Dinge gesprochen.,Social & Relationships
DE,A2,I laughed a lot yesterday.,Ich habe gestern viel gelacht.,Social & Relationships
DE,A2,I felt happy with my friends.,Ich habe mich mit meinen Freunden glücklich gefühlt.,Social & Relationships
DE,A2,I visited my parents last weekend.,Ich habe meine Eltern letztes Wochenende besucht.,Social & Relationships
DE,A2,I helped my mother in the kitchen.,Ich habe meiner Mutter in der Küche geholfen.,Social & Relationships
DE,A2,I spoke with my friends about the plan.,Ich habe mit meinen Freunden über den Plan gesprochen.,Social & Relationships
DE,A2,We went to the park together.,Wir sind zusammen in den Park gegangen.,Social & Relationships
DE,A2,I met my cousin yesterday.,Ich habe gestern meinen Cousin getroffen.,Social & Relationships
DE,A2,I took the train to work today.,Ich bin heute mit dem Zug zur Arbeit gefahren.,Travel
DE,A2,The bus arrived late again.,Der Bus kam wieder zu spät an.,Travel
DE,A2,I bought a ticket at the station.,Ich habe am Bahnhof ein Ticket gekauft.,Travel
DE,A2,The journey took two hours.,Die Reise hat zwei Stunden gedauert.,Travel
DE,A2,I traveled with my colleagues.,Ich bin mit meinen Kollegen gereist.,Travel
DE,A2,I ate breakfast in a café.,Ich habe in einem Café gefrühstückt.,Food & Shopping
DE,A2,I bought vegetables at the market.,Ich habe Gemüse auf dem Markt gekauft.,Food & Shopping
DE,A2,The restaurant was very busy.,Das Restaurant war sehr beschäftigt.,Food & Shopping
DE,A2,I paid for the food in cash.,Ich habe das Essen bar bezahlt.,Food & Shopping
DE,A2,We had dinner together yesterday.,Wir haben gestern zusammen zu Abend gegessen.,Food & Shopping
DE,A2,I studied for the exam.,Ich habe für die Prüfung gelernt.,Daily Life
DE,A2,I finished my homework in the evening.,Ich habe meine Hausaufgaben am Abend gemacht.,Daily Life
DE,A2,I forgot my wallet at home.,Ich habe meine Geldbörse zu Hause vergessen.,Daily Life
DE,A2,I was very busy yesterday.,Ich war gestern sehr beschäftigt.,Daily Life
DE,A2,I went to sleep very late.,Ich bin sehr spät schlafen gegangen.,Daily Life
DE,A2,I cleaned my bathroom.,Ich habe mein Badezimmer geputzt.,Daily Life
DE,A2,I washed my clothes.,Ich habe meine Kleidung gewaschen.,Daily Life
DE,A2,I listened to a podcast.,Ich habe einen Podcast gehört.,Daily Life
DE,A2,I wrote an email.,Ich habe eine E-Mail geschrieben.,Daily Life
DE,A2,I read an article online.,Ich habe einen Artikel online gelesen.,Daily Life
DE,A2,I went for a short walk.,Ich bin spazieren gegangen.,Daily Life
DE,A2,I stayed at home because I was sick.,"Ich bin zu Hause geblieben, weil ich krank war.",Daily Life
DE,A2,I felt better today than yesterday.,Ich habe mich heute besser gefühlt als gestern.,Daily Life
DE,A2,I drank tea in the evening.,Ich habe am Abend Tee getrunken.,Daily Life
DE,A2,I cooked pasta for dinner.,Ich habe Pasta zum Abendessen gekocht.,Food & Shopping
DE,A2,I went shopping for clothes.,Ich bin Kleidung einkaufen gegangen.,Food & Shopping
DE,A2,The store was closed yesterday.,Der Laden war gestern geschlossen.,Food & Shopping
DE,A2,I bought a new shirt.,Ich habe ein neues Hemd gekauft.,Food & Shopping
DE,A2,I liked the food at the restaurant.,Ich mochte das Essen im Restaurant.,Food & Shopping
DE,A2,I called my friend in the evening.,Ich habe meinen Freund am Abend angerufen.,Social & Relationships
DE,A2,We talked about work.,Wir haben über die Arbeit gesprochen.,Social & Relationships
DE,A2,I met my friend after work.,Ich habe meinen Freund nach der Arbeit getroffen.,Social & Relationships
DE,A2,We went out for coffee.,Wir sind Kaffee trinken gegangen.,Social & Relationships
DE,A2,I spent time with my family.,Ich habe Zeit mit meiner Familie verbracht.,Social & Relationships
DE,A2,I arrived at the hotel late at night.,Ich bin spät in der Nacht im Hotel angekommen.,Travel
DE,A2,I checked my luggage at the airport.,Ich habe mein Gepäck am Flughafen aufgegeben.,Travel
DE,A2,I asked the driver for help.,Ich habe den Fahrer um Hilfe gebeten.,Travel
DE,A2,The city was very beautiful.,Die Stadt war sehr schön.,Travel
DE,A2,I visited many places in Berlin.,Ich habe viele Orte in Berlin besucht.,Travel
DE,A2,I went to the supermarket after work.,Ich bin nach der Arbeit zum Supermarkt gegangen.,Food & Shopping
DE,A2,I bought fresh fruit today.,Ich habe heute frisches Obst gekauft.,Food & Shopping
DE,A2,I cooked dinner for my friends.,Ich habe Abendessen für meine Freunde gekocht.,Food & Shopping
DE,A2,The food was too salty.,Das Essen war zu salzig.,Food & Shopping
DE,A2,I paid the bill at the restaurant.,Ich habe die Rechnung im Restaurant bezahlt.,Food & Shopping
DE,A2,I met new colleagues at work.,Ich habe neue Kollegen bei der Arbeit getroffen.,Social & Relationships
DE,A2,We had a meeting yesterday.,Wir hatten gestern ein Meeting.,Social & Relationships
DE,A2,I spoke with my teacher about my progress.,Ich habe mit meinem Lehrer über meinen Fortschritt gesprochen.,Social & Relationships
DE,A2,I sent a message to my family.,Ich habe meiner Familie eine Nachricht geschickt.,Social & Relationships
DE,A2,We planned the weekend trip.,Wir haben den Wochenendausflug geplant.,Social & Relationships
DE,A2,I went to the doctor because I was sick.,"Ich bin zum Arzt gegangen, weil ich krank war.",Daily Life
DE,A2,I took medicine in the morning.,Ich habe morgens Medikamente genommen.,Health & Wellbeing
DE,A2,I felt much better after resting.,Ich habe mich nach dem Ausruhen viel besser gefühlt.,Health & Wellbeing
DE,A2,I had a headache yesterday.,Ich hatte gestern Kopfschmerzen.,Health & Wellbeing
DE,A2,I went for a walk to feel better.,"Ich bin spazieren gegangen, um mich besser zu fühlen.",Health & Wellbeing
DE,A2,I started a new job last month.,Ich habe letzten Monat einen neuen Job angefangen.,Work & Office
DE,A2,I work with a small team.,Ich arbeite mit einem kleinen Team.,Work & Office
DE,A2,We had a meeting this morning.,Wir hatten heute Morgen ein Meeting.,Work & Office
DE,A2,I sent an email to my manager.,Ich habe eine E-Mail an meinen Vorgesetzten geschickt.,Work & Office
DE,A2,I finished my tasks on time.,Ich habe meine Aufgaben pünktlich erledigt.,Work & Office
DE,A2,I studied German every day this week.,Ich habe diese Woche jeden Tag Deutsch gelernt.,Daily Life
DE,A2,I practiced speaking with a friend.,Ich habe das Sprechen mit einem Freund geübt.,Daily Life
DE,A2,I made dinner for my family again.,Ich habe wieder Abendessen für meine Familie gemacht.,Food & Shopping
DE,A2,I bought groceries for the week.,Ich habe Lebensmittel für die Woche gekauft.,Food & Shopping
DE,A2,The supermarket had many people today.,Der Supermarkt hatte heute viele Leute.,Food & Shopping
DE,A2,I tried a new restaurant yesterday.,Ich habe gestern ein neues Restaurant ausprobiert.,Food & Shopping
DE,A2,The food was delicious and fresh.,Das Essen war lecker und frisch.,Food & Shopping
DE,A2,I drank water after exercising.,Ich habe nach dem Training Wasser getrunken.,Health & Wellbeing
DE,A2,I went to the gym in the evening.,Ich bin am Abend ins Fitnessstudio gegangen.,Health & Wellbeing
DE,A2,I felt very tired after exercise.,Ich war nach dem Training sehr müde.,Health & Wellbeing
DE,A2,I slept very well last night.,Ich habe letzte Nacht sehr gut geschlafen.,Health & Wellbeing
DE,A2,I visited my friend’s family.,Ich habe die Familie meines Freundes besucht.,Social & Relationships
DE,A2,We talked about our future plans.,Wir haben über unsere Zukunftspläne gesprochen.,Social & Relationships
DE,A2,I attended a small party.,Ich habe an einer kleinen Party teilgenommen.,Social & Relationships
DE,A2,I met people from different countries.,Ich habe Menschen aus verschiedenen Ländern getroffen.,Social & Relationships
DE,A2,We had a great evening together.,Wir hatten einen tollen Abend zusammen.,Social & Relationships
DE,A2,I traveled to another city for work.,Ich bin für die Arbeit in eine andere Stadt gereist.,Travel
DE,A2,The train ride was comfortable.,Die Zugfahrt war bequem.,Travel
DE,A2,I arrived at the airport early.,Ich bin früh am Flughafen angekommen.,Travel
DE,A2,I checked my passport at security.,Ich habe meinen Pass bei der Kontrolle gezeigt.,Travel
DE,A2,I waited for my flight.,Ich habe auf meinen Flug gewartet.,Travel
DE,A2,I bought a snack at the station.,Ich habe einen Snack am Bahnhof gekauft.,Food & Shopping
DE,A2,I drank coffee with my colleague.,Ich habe mit meinem Kollegen Kaffee getrunken.,Social & Relationships
DE,A2,We discussed the project in detail.,Wir haben das Projekt im Detail besprochen.,Work & Office
DE,A2,I worked late yesterday.,Ich habe gestern bis spät gearbeitet.,Work & Office
DE,A2,I finished my report.,Ich habe meinen Bericht fertiggestellt.,Work & Office
DE,A2,I received an important email.,Ich habe eine wichtige E-Mail erhalten.,Work & Office
DE,A2,I replied to my messages.,Ich habe auf meine Nachrichten geantwortet.,Daily Life
DE,A2,I cleaned my desk at work.,Ich habe meinen Schreibtisch bei der Arbeit aufgeräumt.,Work & Office
DE,A2,I organized my schedule.,Ich habe meinen Zeitplan organisiert.,Work & Office
DE,A2,I attended an online meeting.,Ich habe an einem Online-Meeting teilgenommen.,Work & Office
DE,A2,I used my computer for work.,Ich habe meinen Computer für die Arbeit benutzt.,Technology
DE,A2,I learned something new today.,Ich habe heute etwas Neues gelernt.,Daily Life
DE,A2,I helped my friend move to a new house.,Ich habe meinem Freund beim Umzug geholfen.,Social & Relationships
DE,A2,We cleaned the house together.,Wir haben zusammen das Haus geputzt.,Social & Relationships
DE,A2,I felt proud of my progress.,Ich war stolz auf meinen Fortschritt.,Daily Life
DE,A2,I want to improve my German.,Ich möchte mein Deutsch verbessern.,Daily Life
DE,A2,I plan to study more tomorrow.,"Ich plane, morgen mehr zu lernen.",Daily Life
DE,B1,I have been learning German for several months now.,Ich lerne seit mehreren Monaten Deutsch.,Daily Life
DE,B1,I started to feel more confident when speaking.,"Ich habe angefangen, mich beim Sprechen sicherer zu fühlen.",Daily Life
DE,B1,I try to practice every day even if I am busy.,"Ich versuche jeden Tag zu üben, auch wenn ich beschäftigt bin.",Daily Life
DE,B1,I often make mistakes but I learn from them.,"Ich mache oft Fehler, aber ich lerne daraus.",Daily Life
DE,B1,I prefer studying in the morning because I concentrate better.,"Ich lerne lieber morgens, weil ich mich besser konzentrieren kann.",Daily Life
DE,B1,I had a long conversation with a native speaker yesterday.,Ich hatte gestern ein langes Gespräch mit einem Muttersprachler.,Social & Relationships
DE,B1,We discussed different cultural differences.,Wir haben über verschiedene kulturelle Unterschiede gesprochen.,Social & Relationships
DE,B1,I met some interesting people at the event.,Ich habe bei der Veranstaltung interessante Menschen getroffen.,Social & Relationships
DE,B1,I stayed in touch with my old friends.,Ich bin mit meinen alten Freunden in Kontakt geblieben.,Social & Relationships
DE,B1,It is important to maintain relationships over time.,"Es ist wichtig, Beziehungen über die Zeit zu pflegen.",Social & Relationships
DE,B1,I took the train because it was faster than the bus.,"Ich bin mit dem Zug gefahren, weil er schneller als der Bus war.",Travel
DE,B1,The journey was comfortable and not too long.,Die Reise war bequem und nicht zu lang.,Travel
DE,B1,I had to change trains twice.,Ich musste zweimal umsteigen.,Travel
DE,B1,The station was very crowded during rush hour.,Der Bahnhof war zur Stoßzeit sehr voll.,Travel
DE,B1,I planned my trip carefully before leaving.,"Ich habe meine Reise sorgfältig geplant, bevor ich losgefahren bin.",Travel
DE,B1,I usually eat healthy food during the week.,Ich esse unter der Woche normalerweise gesundes Essen.,Food & Shopping
DE,B1,I try to cook at home instead of eating out.,"Ich versuche zu Hause zu kochen, statt auswärts zu essen.",Food & Shopping
DE,B1,The supermarket offers better prices than small shops.,Der Supermarkt bietet bessere Preise als kleine Läden.,Food & Shopping
DE,B1,I checked the ingredients before buying the product.,"Ich habe die Zutaten überprüft, bevor ich das Produkt gekauft habe.",Food & Shopping
DE,B1,I prefer fresh food over processed food.,Ich bevorzuge frische Lebensmittel gegenüber verarbeiteten.,Food & Shopping
DE,B1,I was very tired after a full day at work.,Ich war nach einem ganzen Arbeitstag sehr müde.,Work & Office
DE,B1,My colleague helped me finish the project.,"Mein Kollege hat mir geholfen, das Projekt fertigzustellen.",Work & Office
DE,B1,We had to meet a strict deadline.,Wir mussten eine strenge Frist einhalten.,Work & Office
DE,B1,I sent a report to my supervisor.,Ich habe einen Bericht an meinen Vorgesetzten geschickt.,Work & Office
DE,B1,I attended a training session last week.,Ich habe letzte Woche an einer Schulung teilgenommen.,Work & Office
DE,B1,I felt stressed because of too much work.,Ich war wegen zu viel Arbeit gestresst.,Health & Wellbeing
DE,B1,I started exercising to improve my health.,"Ich habe angefangen zu trainieren, um meine Gesundheit zu verbessern.",Health & Wellbeing
DE,B1,Sleep is very important for concentration.,Schlaf ist sehr wichtig für die Konzentration.,Health & Wellbeing
DE,B1,I try to drink enough water every day.,"Ich versuche, jeden Tag genug Wasser zu trinken.",Health & Wellbeing
DE,B1,I visited the doctor for a routine check-up.,Ich war zur Routineuntersuchung beim Arzt.,Health & Wellbeing
DE,B1,I use my phone mainly for communication and learning.,Ich benutze mein Handy hauptsächlich zur Kommunikation und zum Lernen.,Technology
DE,B1,Social media can be both useful and distracting.,Soziale Medien können sowohl nützlich als auch ablenkend sein.,Technology
DE,B1,I installed a new app to improve my productivity.,"Ich habe eine neue App installiert, um meine Produktivität zu verbessern.",Technology
DE,B1,Technology has changed the way we work.,"Technologie hat die Art und Weise verändert, wie wir arbeiten.",Technology
DE,B1,I sometimes struggle to manage my time effectively.,"Ich habe manchmal Schwierigkeiten, meine Zeit effektiv zu managen.",Daily Life
DE,B1,I try to balance work and free time.,"Ich versuche, Arbeit und Freizeit auszubalancieren.",Daily Life
DE,B1,I enjoy reading books in my free time.,Ich lese gerne Bücher in meiner Freizeit.,Daily Life
DE,B1,I think learning languages is very useful.,"Ich finde, Sprachenlernen ist sehr nützlich.",Daily Life
DE,B1,I need to improve my vocabulary.,Ich muss meinen Wortschatz verbessern.,Daily Life
DE,B1,We discussed politics during dinner.,Wir haben beim Abendessen über Politik gesprochen.,Social & Relationships
DE,B1,People often have different opinions on social issues.,Menschen haben oft unterschiedliche Meinungen zu sozialen Themen.,Social & Relationships
DE,B1,I try to understand different perspectives.,"Ich versuche, verschiedene Perspektiven zu verstehen.",Social & Relationships
DE,B1,Communication is key in any relationship.,Kommunikation ist der Schlüssel in jeder Beziehung.,Social & Relationships
DE,B1,I enjoy traveling to new places.,Ich reise gerne an neue Orte.,Travel
DE,B1,I learn a lot when I travel abroad.,"Ich lerne viel, wenn ich ins Ausland reise.",Travel
DE,B1,I prefer traveling by train instead of flying.,Ich reise lieber mit dem Zug als mit dem Flugzeug.,Travel
